key,theme,source_or_url,method_or_data,relevance_to_manuscript,planned_use,citation_role
OECD_2022_database,Data source,https://www.oecd.org/en/data/datasets/pisa-2022-database.html,PISA 2022 public use files,Official source for student and school questionnaire data,Methods data subsection,body_required
OECD_2022_technical,Survey methodology,https://www.oecd.org/en/publications/pisa-2022-technical-report_01820d6d-en.html,Plausible values weights replicate weights,Defines PISA sampling and estimation rules,Methods survey design subsection,body_required
OECD_2022_results_vol1,PISA mathematics context,https://www.oecd.org/en/publications/pisa-2022-results-volume-i_53f23881-en.html,Mathematics performance and equity,Defines mathematics literacy and broad disruption context,Introduction and outcome definition,body_required
OECD_2022_results_vol2,Digital learning context,https://www.oecd.org/en/publications/pisa-2022-results-volume-ii_a97db61c-en.html,Digital devices school policies and disruption,Supports ICT resources and learning-context framing,Literature review,body_required
OECD_2022_results_vol5,Student dispositions,https://www.oecd-ilibrary.org/en/publications/pisa-2022-results-volume-v_c2e44201-en,Mathematics attitudes and strategies,Supports self-efficacy anxiety and disposition predictors,Literature review,body_required
NCES_2022_cut_scores,Low performer threshold,https://nces.ed.gov/surveys/pisa/pisa2022/technical-notes/index.asp,Official cut scores table,Confirms Level 2 mathematics lower bound 420.07,Methods outcome definition,body_required
Romero_Ventura_2020,Educational data mining,https://doi.org/10.1002/widm.1355,Educational data mining review,Positions predictive modeling in education research,Literature review,body_required
Ifenthaler_Yau_2020,Learning analytics,https://doi.org/10.1111/bjet.12992,Learning analytics systematic review,Frames educational prediction and study support,Literature review,body_required
Joksimovic_2020,Responsible learning analytics,https://doi.org/10.1111/bjet.12950,Instructional conditions and prediction caution,Supports subgroup and intervention caution,Discussion limitations,body_required
Susnjak_2022,Explainable learning analytics,https://hf.co/papers/2208.14582,XAI and at-risk student prediction framework,Hugging Face candidate retained for XAI learning analytics context,Literature review,body_required
Breiman_2001,Machine learning statistics,https://doi.org/10.1214/ss/1009213726,Algorithmic vs data modeling cultures,Frames statistical vs ML comparison,Introduction,body_required
Hastie_Tibshirani_Friedman_2009,Statistical learning,https://hastie.su.domains/ElemStatLearn/,Regularization tree models validation,Statistical learning backbone,Methods,body_required
James_Witten_Hastie_Tibshirani_2021,Applied ML,https://www.statlearning.com/,Applied statistical learning,Model comparison and validation framing,Methods,body_required
Fernandez_Delgado_2014,Model comparison,https://jmlr.org/papers/v15/delgado14a.html,Classifier comparison,Justifies multiple model-family comparison,Literature review,body_required
He_Hu_Garcia_2008,Class imbalance,https://doi.org/10.1109/TKDE.2008.239,Imbalanced learning overview,Low-performing student classification context,Methods metrics,body_required
Steyerberg_2010,Prediction evaluation,https://doi.org/10.1097/EDE.0b013e3181c30fb2,Discrimination calibration and performance framing,Supports AUC Brier calibration reporting,Methods metrics,body_required
Powers_2011,Metrics,https://doi.org/10.48550/arXiv.2010.16061,Precision recall F-score interpretation,Classification metric justification,Methods metrics,body_required
Chen_Guestrin_2016,Gradient boosting,https://doi.org/10.1145/2939672.2939785,XGBoost,Tree boosting candidate model,Methods models,body_required
Ke_2017,Gradient boosting,https://proceedings.neurips.cc/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,LightGBM,Best-performing tree boosting model,Methods models,body_required
Lundberg_Lee_2017,XAI,https://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions,SHAP,Foundational method for model explanations,Methods interpretability subsection,body_required
Molnar_2022,XAI,https://christophm.github.io/interpretable-ml-book/,Interpretable ML overview,Conceptual framing for model explanations,Literature review,body_required
Rudin_2019,XAI critique,https://doi.org/10.1038/s42256-019-0048-x,Interpretable models vs black boxes,Supports careful distinction between prediction explanation and decisions,Discussion limitations,body_required
PISA_2018_XAI_math,PISA XAI precedent,https://arxiv.org/abs/2508.16747,PISA 2018 cross-national XAI for mathematics achievement,Closest methodological precedent,Literature review and differentiation,body_required
PISA_2022_XAI_low_performers,PISA 2022 XAI precedent,https://arxiv.org/abs/2509.24508,Interpretable ML and SHAP for low performers in Latin America,Closest topic precedent and differentiation target,Literature review,body_required
PISA_2022_XAI_resilience,PISA 2022 XAI precedent,https://arxiv.org/abs/2509.24830,SHAP and academic resilience in Latin America,Supports XAI with PISA 2022 contextual variables,Literature review,body_required
Angelopoulos_Bates_2021,Uncertainty,https://arxiv.org/abs/2107.07511,Conformal prediction introduction,Possible predictive uncertainty extension,Future work,supplemental_candidate
Prokhorenkova_2018,Gradient boosting,https://proceedings.neurips.cc/paper/2018/hash/14491b756b3a51daac41c24863285549-Abstract.html,CatBoost,Optional model family not enabled in current main results,Possible methods appendix,supplemental_candidate
PISA_2022_explainable_clusters,PISA 2022 XAI profile study,https://digibuo.uniovi.es/dspace/handle/10651/76089,Explainable clustering with ICT and student profiles,Keep only after metadata verification,Possible literature expansion,supplemental_candidate
ICT_PISA_2022_SEM,Digital learning evidence,https://www.sciencedirect.com/science/article/pii/S0191491X2600026X,ICT engagement and achievement in PISA 2022,Keep only after author and publication metadata are verified,Possible ICT evidence expansion,supplemental_candidate
Education_Info_Tech_target,Target journal,https://link.springer.com/journal/10639,Education technology journal,Submission target page,Submission strategy,submission_strategy
Computers_Education_target,Stretch journal,https://www.sciencedirect.com/journal/computers-and-education,High-impact education technology journal,Backup target only,Submission strategy,submission_strategy
Scientific_Reports_backup,Backup journal,https://www.nature.com/srep/,Broad scientific journal,Backup if education-specific contribution is rejected,Submission strategy,submission_strategy
PLOS_ONE_backup,Backup journal,https://journals.plos.org/plosone/s/journal-information,Broad validity-focused journal,Backup if contribution is methodologically sound,Submission strategy,submission_strategy
